,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
449,leke villa,Gandipet,Villa,5,6500,Immediately,Bachelors/Family,1000,1,8
450,"Kokapet, Outer Ring",Road,Villa,4,60000,Immediately,Bachelors/Family,1800,2,6
451,Nalagandla,,Flat,4,15000,Immediately,Bachelors/Family,5400,2,2
452,Nalagandla,,Flat,3,11000,Immediately,Bachelors/Family,1800,5,24
453,Kondapur,,Flat,2,30000,Immediately,Bachelors/Family,1983,5,33
454,"Kollur, Outer Ring",Road,Villa,5,62000,Immediately,Bachelors/Family,4050,3,1
455,Masjid,"Banda,",Flat,3,22000,Immediately,Family,1000,3,4
456,Shaikpet,,Flat,3,28000,Immediately,Bachelors/Family,1420,3,3
457,Pragathi Nagar,"Kukatpally,",Flat,3,26000,Immediately,Bachelors/Family,1876,3,1
458,Tirumalagiri,,Villa,2,24500,Immediately,Family,2100,3,10
459,Hitech,"City,",Flat,3,95000,Immediately,Bachelors/Family,1350,3,1
460,Kondapur,,Flat,3,42000,Immediately,Bachelors/Family,1800,3,3
461,"Kokapet, Outer Ring","Road,",Flat,3,15000,Immediately,Bachelors/Family,600,3,6
462,Khajaguda,,Villa,4,15000,Immediately,Bachelors/Family,600,4,2
463,Defence Colony,Sainikpuri,Flat,3,55000,Immediately,Bachelors/Family,1250,4,1
464,Pragathi,"Enclave,",Flat,3,10500,Immediately,Bachelors/Family,1700,3,2
465,"Financial District, Nanakram","Guda,",Flat,3,17500,Immediately,Bachelors/Family,1500,3,4
466,Izzathnagar,,Flat,4,35000,Immediately,Bachelors/Family,1300,4,2
467,"Basheer Bagh, NH","7,",Flat,2,6500,Immediately,Bachelors,1000,4,1
468,Chanda,Nagar,Villa,3,8000,Immediately,Family,1250,2,18
469,"Narsingi, Outer Ring","Road,",Flat,3,40000,Immediately,Bachelors/Family,950,2,7
470,Narayanguda,,Flat,3,18000,Immediately,Bachelors/Family,2300,1,3
471,Gachibowli,,Flat,4,23000,Immediately,Bachelors,1400,1,1
472,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,20000,Immediately,Family,950,3,2
473,Dandamudi Enclave,"Jeedimetla,",Flat,4,16000,Immediately,Bachelors,900,3,1
474,Hastinapuram,,Flat,2,40000,Immediately,Bachelors/Family,1250,2,2
475,Alwal,,Flat,2,36000,Immediately,Bachelors/Family,300,2,17
476,Puppalguda,,Flat,3,36000,Immediately,Bachelors,1900,2,5
477,Gachibowli,,Flat,3,20000,Immediately,Bachelors/Family,1900,2,2
478,"Kokapet, Outer Ring","Road,",Flat,2,30000,Immediately,Family,550,3,2
479,leke villa,Gandipet,Villa,5,60000,Immediately,Bachelors,2600,3,1
480,"Kokapet, Outer Ring",Road,Villa,4,30000,Immediately,Bachelors,400,2,8
481,Nalagandla,,Flat,4,15000,Immediately,Bachelors,1800,2,1
482,Nalagandla,,Flat,3,25000,Immediately,Bachelors/Family,1000,4,2
483,Kondapur,,Flat,2,75000,Immediately,Bachelors,1800,4,3
484,"Kollur, Outer Ring",Road,Villa,5,150000,Immediately,Bachelors/Family,1500,6,4
485,Masjid,"Banda,",Flat,3,210000,Immediately,Bachelors/Family,3250,6,4
486,Shaikpet,,Flat,3,280000,Immediately,Family,5500,1,1
487,Pragathi Nagar,"Kukatpally,",Flat,3,60000,Immediately,Bachelors/Family,11800,1,2
488,Tirumalagiri,,Villa,2,120000,Immediately,Family,700,3,6
489,Hitech,"City,",Flat,3,190000,Immediately,Bachelors,850,3,3
490,Kondapur,,Flat,3,52000,Immediately,Bachelors,1900,3,2
491,"Kokapet, Outer Ring","Road,",Flat,3,49000,Immediately,Bachelors/Family,475,3,1
492,Khajaguda,,Villa,4,10000,Immediately,Bachelors,1600,3,1
493,Defence Colony,Sainikpuri,Flat,3,20000,Immediately,Bachelors/Family,1700,3,1
494,Pragathi,"Enclave,",Flat,3,53000,Immediately,Bachelors,1072,3,2
495,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,2100,3,1
496,Izzathnagar,,Flat,4,60000,Immediately,Bachelors,1700,4,18
497,"Basheer Bagh, NH","7,",Flat,2,80000,Immediately,Family,1000,4,24
498,Chanda,Nagar,Villa,3,38000,Immediately,Bachelors/Family,1900,1,1
499,"Narsingi, Outer Ring","Road,",Flat,3,75000,Immediately,Family,1600,1,4
500,Narayanguda,,Flat,3,65000,Immediately,Family,550,3,6
501,Gachibowli,,Flat,4,17000,Immediately,Bachelors,1050,3,8
502,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,60000,Immediately,Bachelors/Family,1000,3,1
503,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors/Family,1500,3,4
504,Hastinapuram,,Flat,2,13500,Immediately,Bachelors,900,1,1
505,Alwal,,Flat,2,27000,Immediately,Bachelors,900,1,3
506,Puppalguda,,Flat,3,30000,Immediately,Bachelors/Family,1200,2,3
507,Gachibowli,,Flat,3,30000,Immediately,Bachelors/Family,1000,2,2
508,"Kokapet, Outer Ring","Road,",Flat,2,21000,Immediately,Bachelors,500,4,2
509,leke villa,Gandipet,Villa,5,14000,Immediately,Bachelors,1700,4,4
510,"Kokapet, Outer Ring",Road,Villa,4,45000,Immediately,Bachelors,1500,5,5
511,Nalagandla,,Flat,4,12500,Immediately,Bachelors/Family,1000,5,1
512,Nalagandla,,Flat,3,90000,Immediately,Family,1000,2,17
513,Kondapur,,Flat,2,45000,Immediately,Bachelors,3600,2,4
514,"Kollur, Outer Ring",Road,Villa,5,13000,Immediately,Bachelors/Family,1505,3,5
515,Masjid,"Banda,",Flat,3,20000,Immediately,Bachelors/Family,900,3,3
516,Shaikpet,,Flat,3,35000,Immediately,Bachelors,800,2,1
517,Pragathi Nagar,"Kukatpally,",Flat,3,20000,Immediately,Bachelors/Family,2800,2,4
518,Tirumalagiri,,Villa,2,75000,Immediately,Bachelors/Family,1000,2,3
